TRILEGAL simulation: output445007434654 
Source:7
w:22.282799999999998
u:26.149
g:23.912
r:22.934
i:22.565
z:22.39
y:22.28
Microlensing event parameters:
t0:2463209.497026426
u0:0.5384963319145633
tE:120.36462817633613
rho:5.626173252730628
s:0.5441935704027236
q:0.5011209625394742
alpha:0.1441022667195231
piEN:-0.18491065891963493
piEE:0.5704608756459055

band,mjd,mag,magerr,m5
w, 2461509.076328603, 22.857546500506242, 0.017169143002739213, 27.6
w, 2461509.0867452696, 22.84218014502685, 0.01704807498027804, 27.6
w, 2461509.097161936, 22.872307491976446, 0.01728625105742791, 27.6
w, 2461509.1075786026, 22.866269509654668, 0.01723825178223814, 27.6
w, 2461509.117995269, 22.86517529318034, 0.017229567523862194, 27.6
w, 2461509.1284119356, 22.87948685214479, 0.017343497746734632, 27.6
w, 2461509.138828602, 22.86681703170599, 0.017242598838613444, 27.6
w, 2461509.1492452687, 22.84432375126069, 0.01706491258930092, 27.6
w, 2461509.159661935, 22.87010797498262, 0.01726875041911954, 27.6
w, 2461509.1700786017, 22.892867082542658, 0.017450695251010163, 27.6
w, 2461509.180495268, 22.858361311955182, 0.01717558666706918, 27.6
w, 2461509.1909119347, 22.863809071526855, 0.017218730635234974, 27.6
w, 2461509.201328601, 22.832320649226872, 0.01697084424652818, 27.6
w, 2461509.2117452677, 22.830465369040706, 0.016956350751573496, 27.6
w, 2461509.2221619342, 22.861081774928874, 0.017197118061591944, 27.6
w, 2461509.2325786008, 22.878102514070267, 0.017332444595559843, 27.6
w, 2461509.2429952673, 22.86517529318034, 0.017229567523862194, 27.6
w, 2461509.253411934, 22.85131984518824, 0.017119981334561097, 27.6
w, 2461509.2638286003, 22.867638832833723, 0.017249125593817326, 27.6
w, 2461509.274245267, 22.84164490409673, 0.017043873359763144, 27.6
w, 2461509.2846619333, 22.848354455821, 0.017096618034217508, 27.6
w, 2461509.2950786, 22.83285131209411, 0.01697499207605279, 27.6
w, 2461509.3054952663, 22.88699293184926, 0.017403552359160288, 27.6
